"","year","cause","lat","lng","nb","type","fr","en","color"
"33",1999,"Empoisonnement, champ de mise, accident, autre",40.21,18.1,12,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"34",1999,"Empoisonnement, champ de mise, accident, autre",41.38,26.34,5,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"35",1999,"Noyade",40.15,18.55,1,1,"Noyade","drowning","#58ABD3"
"36",1999,"Noyade",40.15,18.55,1,1,"Noyade","drowning","#58ABD3"
"37",1999,"Empoisonnement, champ de mise, accident, autre",46.1,13.4,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"38",1999,"Empoisonnement, champ de mise, accident, autre",51.27,-0.27,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"39",1999,"Suicide",53.32,9.58,1,2,"Suicide","Suicide","#F8E91F"
"40",1999,"Asphyxie",35.1,33.22,6,3,"Asphyxie","Suffocation","#6B2265"
"41",1999,"Noyade",35.53,-5.18,1,1,"Noyade","drowning","#58ABD3"
"42",1999,"Mort de faim, de soif ou de froid",45.27,9.11,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"43",1999,"Noyade",36.01,-5.36,3,1,"Noyade","drowning","#58ABD3"
"44",1999,"Asphyxie",45.09,10.47,2,3,"Asphyxie","Suffocation","#6B2265"
"45",1999,"Asphyxie",45.09,10.47,1,3,"Asphyxie","Suffocation","#6B2265"
"46",1999,"Asphyxie",45.09,10.47,1,3,"Asphyxie","Suffocation","#6B2265"
"47",1999,"Noyade",36.31,-6.17,4,1,"Noyade","drowning","#58ABD3"
"48",1999,"Suicide",51.33,8.33,1,2,"Suicide","Suicide","#F8E91F"
"49",1999,"Empoisonnement, champ de mise, accident, autre",47.26,21.27,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"50",1999,"Empoisonnement, champ de mise, accident, autre",41.15,26.18,3,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"51",1999,"Noyade",35.19,-2.57,1,1,"Noyade","drowning","#58ABD3"
"52",1999,"Mort de faim, de soif ou de froid",51.09,-0.1,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"53",1999,"Empoisonnement, champ de mise, accident, autre",52.31,13.24,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"54",1999,"Noyade",40.2,18.55,40,1,"Noyade","drowning","#58ABD3"
"55",1999,"Noyade",40.2,18.55,60,1,"Noyade","drowning","#58ABD3"
"56",1999,"Mort de faim, de soif ou de froid",40.37,17.56,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"57",1999,"Suicide",51.33,8.33,1,2,"Suicide","Suicide","#F8E91F"
"58",1999,"Noyade",40.2,18.55,1,1,"Noyade","drowning","#58ABD3"
"59",1999,"Mort de faim, de soif ou de froid",50.54,4.29,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"60",1999,"Mort de faim, de soif ou de froid",50.54,4.29,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"61",1999,"Empoisonnement, champ de mise, accident, autre",51.07,1.18,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"62",1999,"Empoisonnement, champ de mise, accident, autre",40.37,17.56,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"63",1999,"Noyade",41.53,12.28,18,1,"Noyade","drowning","#58ABD3"
"64",1999,"Suicide",48.5,2.21,1,2,"Suicide","Suicide","#F8E91F"
"65",1999,"Noyade",28,-16,9,1,"Noyade","drowning","#58ABD3"
"66",1999,"Empoisonnement, champ de mise, accident, autre",49.5,7.51,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"67",1999,"Empoisonnement, champ de mise, accident, autre",49.5,7.51,2,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"68",1999,"Noyade",52.36,13.11,1,1,"Noyade","drowning","#58ABD3"
"69",1999,"Noyade",51.22,14.58,1,1,"Noyade","drowning","#58ABD3"
"70",1999,"Noyade",36.08,-5.21,38,1,"Noyade","drowning","#58ABD3"
"71",1999,"Empoisonnement, champ de mise, accident, autre",5.19,-4.01,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"72",1999,"Asphyxie",50.06,8.41,1,3,"Asphyxie","Suffocation","#6B2265"
"73",1999,"Noyade",40.15,18.55,5,1,"Noyade","drowning","#58ABD3"
"74",1999,"Empoisonnement, champ de mise, accident, autre",38.42,-9.07,19,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"75",1999,"Asphyxie",50.2,4.02,2,3,"Asphyxie","Suffocation","#6B2265"
"76",1999,"Noyade",40.28,19.29,22,1,"Noyade","drowning","#58ABD3"
"77",1999,"Noyade",40.28,19.29,1,1,"Noyade","drowning","#58ABD3"
"78",1999,"Noyade",40.28,19.29,1,1,"Noyade","drowning","#58ABD3"
"79",1999,"Noyade",40.28,19.29,1,1,"Noyade","drowning","#58ABD3"
"80",1999,"Suicide",49.47,9.55,1,2,"Suicide","Suicide","#F8E91F"
"81",1999,"Noyade",36.08,-5.21,13,1,"Noyade","drowning","#58ABD3"
"82",1999,"Noyade",36.08,-5.21,13,1,"Noyade","drowning","#58ABD3"
"83",1999,"Incendie criminel, homicide, absence de soins",48.5,2.21,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"84",1999,"Asphyxie",48.12,16.22,1,3,"Asphyxie","Suffocation","#6B2265"
"85",1999,"Noyade",48.13,22.31,12,1,"Noyade","drowning","#58ABD3"
"86",1999,"Empoisonnement, champ de mise, accident, autre",51.5,12.14,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"87",1999,"Noyade",51.09,14.58,1,1,"Noyade","drowning","#58ABD3"
"88",1999,"Suicide",51.27,6.37,1,2,"Suicide","Suicide","#F8E91F"
"89",1999,"Noyade",35.53,-5.18,1,1,"Noyade","drowning","#58ABD3"
"90",1999,"Empoisonnement, champ de mise, accident, autre",48.46,9.1,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"91",1999,"Noyade",51,14.55,1,1,"Noyade","drowning","#58ABD3"
"92",1999,"Asphyxie",47.22,8.32,1,3,"Asphyxie","Suffocation","#6B2265"
"93",1999,"Empoisonnement, champ de mise, accident, autre",40.07,18.17,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"94",1999,"Noyade",37.22,-6,1,1,"Noyade","drowning","#58ABD3"
"95",1999,"Noyade",37.04,15.17,1,1,"Noyade","drowning","#58ABD3"
"96",1999,"Empoisonnement, champ de mise, accident, autre",41.39,12.33,2,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"97",1999,"Suicide",48.08,11.34,1,2,"Suicide","Suicide","#F8E91F"
"98",1999,"Suicide",52.18,8.37,1,2,"Suicide","Suicide","#F8E91F"
"99",1999,"Empoisonnement, champ de mise, accident, autre",51.07,1.18,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"100",1999,"Suicide",48.46,9.1,1,2,"Suicide","Suicide","#F8E91F"
"101",1999,"Noyade",40.37,17.56,1,1,"Noyade","drowning","#58ABD3"
"102",1999,"Noyade",40.37,17.56,1,1,"Noyade","drowning","#58ABD3"
"103",1999,"Noyade",40.37,17.56,1,1,"Noyade","drowning","#58ABD3"
"104",1999,"Noyade",40.37,17.56,3,1,"Noyade","drowning","#58ABD3"
"105",1999,"Empoisonnement, champ de mise, accident, autre",52.22,4.53,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"106",1999,"Empoisonnement, champ de mise, accident, autre",41.14,-0.02,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"107",1999,"Empoisonnement, champ de mise, accident, autre",45.21,8.31,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"108",1999,"Empoisonnement, champ de mise, accident, autre",52.22,4.53,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"109",1999,"Suicide",49.59,8.24,1,2,"Suicide","Suicide","#F8E91F"
"110",1999,"Noyade",52.31,13.24,1,1,"Noyade","drowning","#58ABD3"
"111",1999,"Empoisonnement, champ de mise, accident, autre",48.5,2.21,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"112",1998,"Noyade",38.2,26.32,2,1,"Noyade","drowning","#58ABD3"
"113",1998,"Noyade",38.2,26.32,9,1,"Noyade","drowning","#58ABD3"
"114",1998,"Empoisonnement, champ de mise, accident, autre",40.39,23.16,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"115",1998,"Mort de faim, de soif ou de froid",41.53,12.28,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"116",1998,"Suicide",48.08,11.34,1,2,"Suicide","Suicide","#F8E91F"
"117",1998,"Noyade",36.31,-6.17,2,1,"Noyade","drowning","#58ABD3"
"118",1998,"Noyade",36.31,-6.17,22,1,"Noyade","drowning","#58ABD3"
"119",1998,"Noyade",35.56,-3.02,3,1,"Noyade","drowning","#58ABD3"
"120",1998,"Noyade",35.53,-5.18,3,1,"Noyade","drowning","#58ABD3"
"121",1998,"Noyade",35.53,-5.18,5,1,"Noyade","drowning","#58ABD3"
"122",1998,"Noyade",36.08,-5.21,30,1,"Noyade","drowning","#58ABD3"
"123",1998,"Noyade",36.08,-5.21,1,1,"Noyade","drowning","#58ABD3"
"124",1998,"Noyade",36.08,-5.21,32,1,"Noyade","drowning","#58ABD3"
"125",1998,"Noyade",36.15,14.26,8,1,"Noyade","drowning","#58ABD3"
"126",1998,"Suicide",35.53,-5.18,1,2,"Suicide","Suicide","#F8E91F"
"127",1998,"Suicide",51.37,0.18,1,2,"Suicide","Suicide","#F8E91F"
"128",1998,"Noyade",40.37,17.56,3,1,"Noyade","drowning","#58ABD3"
"129",1998,"Noyade",40.37,17.56,4,1,"Noyade","drowning","#58ABD3"
"130",1998,"Noyade",35.47,-5.48,27,1,"Noyade","drowning","#58ABD3"
"131",1998,"Empoisonnement, champ de mise, accident, autre",41.45,26.12,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"132",1998,"Suicide",51.28,11.57,1,2,"Suicide","Suicide","#F8E91F"
"133",1998,"Empoisonnement, champ de mise, accident, autre",47.37,8.18,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"134",1998,"Suicide",52.37,6.33,1,2,"Suicide","Suicide","#F8E91F"
"135",1998,"Incendie criminel, homicide, absence de soins",50.52,4.28,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"136",1998,"Incendie criminel, homicide, absence de soins",50.37,5.35,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"137",1998,"Noyade",40.28,19.29,4,1,"Noyade","drowning","#58ABD3"
"138",1998,"Noyade",40.28,19.29,16,1,"Noyade","drowning","#58ABD3"
"139",1998,"Suicide",40.38,22.57,1,2,"Suicide","Suicide","#F8E91F"
"140",1998,"Suicide",52.07,11.38,1,2,"Suicide","Suicide","#F8E91F"
"141",1998,"Suicide",51.27,-0.27,1,2,"Suicide","Suicide","#F8E91F"
"142",1998,"Empoisonnement, champ de mise, accident, autre",48.52,15.45,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"143",1998,"Suicide",48.12,16.22,1,2,"Suicide","Suicide","#F8E91F"
"144",1998,"Asphyxie",50.54,4.29,1,3,"Asphyxie","Suffocation","#6B2265"
"145",1998,"Noyade",51.38,14.44,1,1,"Noyade","drowning","#58ABD3"
"146",1998,"Incendie criminel, homicide, absence de soins",46.12,6.08,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"147",1998,"Incendie criminel, homicide, absence de soins",40.2,18.55,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"148",1998,"Noyade",36.08,-5.21,1,1,"Noyade","drowning","#58ABD3"
"149",1998,"Empoisonnement, champ de mise, accident, autre",51.27,-0.27,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"150",1998,"Empoisonnement, champ de mise, accident, autre",37,13.3,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"151",1998,"Empoisonnement, champ de mise, accident, autre",50.41,13.32,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"152",1998,"Empoisonnement, champ de mise, accident, autre",50.41,13.32,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"153",1998,"Empoisonnement, champ de mise, accident, autre",50.41,13.32,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"154",1998,"Empoisonnement, champ de mise, accident, autre",50.41,13.32,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"155",1998,"Empoisonnement, champ de mise, accident, autre",50.41,13.32,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"156",1998,"Empoisonnement, champ de mise, accident, autre",50.41,13.32,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"157",1998,"Empoisonnement, champ de mise, accident, autre",50.41,13.32,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"158",1998,"Empoisonnement, champ de mise, accident, autre",44.24,8.55,5,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"159",1998,"Noyade",36.31,-6.17,5,1,"Noyade","drowning","#58ABD3"
"160",1998,"Incendie criminel, homicide, absence de soins",49,8.24,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"161",1998,"Noyade",39,17.05,8,1,"Noyade","drowning","#58ABD3"
"162",1998,"Noyade",45.58,8.51,2,1,"Noyade","drowning","#58ABD3"
"163",1998,"Noyade",35.53,-5.18,7,1,"Noyade","drowning","#58ABD3"
"164",1998,"Noyade",35.19,-2.57,38,1,"Noyade","drowning","#58ABD3"
"165",1998,"Suicide",51.27,-0.07,1,2,"Suicide","Suicide","#F8E91F"
"166",1998,"Incendie criminel, homicide, absence de soins",50.59,12.26,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"167",1998,"Noyade",35.53,-5.18,7,1,"Noyade","drowning","#58ABD3"
"168",1998,"Mort de faim, de soif ou de froid",35.1,33.22,2,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"169",1998,"Noyade",36,-5.25,1,1,"Noyade","drowning","#58ABD3"
"170",1998,"Noyade",35.19,-2.57,38,1,"Noyade","drowning","#58ABD3"
"171",1998,"Suicide",52.31,7.19,1,2,"Suicide","Suicide","#F8E91F"
"172",1998,"Suicide",52.11,5,1,2,"Suicide","Suicide","#F8E91F"
"173",1998,"Noyade",50.06,8.41,1,1,"Noyade","drowning","#58ABD3"
"174",1998,"Empoisonnement, champ de mise, accident, autre",51.35,4.46,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"175",1998,"Noyade",40.28,19.29,3,1,"Noyade","drowning","#58ABD3"
"176",1998,"Suicide",50.14,11.19,1,2,"Suicide","Suicide","#F8E91F"
"177",1998,"Empoisonnement, champ de mise, accident, autre",41.38,26.34,2,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"178",1998,"Empoisonnement, champ de mise, accident, autre",52.31,13.24,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"179",1998,"Empoisonnement, champ de mise, accident, autre",49.36,12.37,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"180",1998,"Empoisonnement, champ de mise, accident, autre",52.22,4.53,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"181",1998,"Noyade",54.22,12.35,1,1,"Noyade","drowning","#58ABD3"
"182",1998,"Asphyxie",53.2,-6.15,1,3,"Asphyxie","Suffocation","#6B2265"
"183",1998,"Noyade",36.08,-5.21,13,1,"Noyade","drowning","#58ABD3"
"184",1998,"Noyade",36.31,-6.17,10,1,"Noyade","drowning","#58ABD3"
"185",1998,"Suicide",47.04,15.26,1,2,"Suicide","Suicide","#F8E91F"
"186",1998,"Empoisonnement, champ de mise, accident, autre",47.28,16.34,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"187",1998,"Empoisonnement, champ de mise, accident, autre",41.53,12.28,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"188",1998,"Incendie criminel, homicide, absence de soins",41.3,24,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"189",1998,"Suicide",41.53,12.28,1,2,"Suicide","Suicide","#F8E91F"
"190",1998,"Noyade",38.11,15.33,1,1,"Noyade","drowning","#58ABD3"
"191",1998,"Incendie criminel, homicide, absence de soins",52.31,13.24,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"192",1998,"Incendie criminel, homicide, absence de soins",52.31,13.24,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"193",1998,"Incendie criminel, homicide, absence de soins",52.31,13.24,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"194",1998,"Noyade",50.56,6.57,1,1,"Noyade","drowning","#58ABD3"
"195",1998,"Empoisonnement, champ de mise, accident, autre",53.04,8.48,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"196",1998,"Noyade",40.37,17.56,5,1,"Noyade","drowning","#58ABD3"
"197",1998,"Noyade",40.37,17.56,5,1,"Noyade","drowning","#58ABD3"
"198",1998,"Mort de faim, de soif ou de froid",51.09,-0.1,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"199",1998,"Mort de faim, de soif ou de froid",51.27,-0.27,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"200",1998,"Suicide",51.58,5.43,1,2,"Suicide","Suicide","#F8E91F"
"201",1998,"Noyade",41.38,26.34,3,1,"Noyade","drowning","#58ABD3"
"202",1998,"Empoisonnement, champ de mise, accident, autre",41.53,12.28,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"203",1998,"Empoisonnement, champ de mise, accident, autre",52.31,13.24,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"204",1998,"Suicide",52.31,13.24,1,2,"Suicide","Suicide","#F8E91F"
"205",1998,"Empoisonnement, champ de mise, accident, autre",42.25,2.52,4,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"206",1998,"Asphyxie",36.5,-2.27,1,3,"Asphyxie","Suffocation","#6B2265"
"207",1997,"Suicide",52.31,13.24,1,2,"Suicide","Suicide","#F8E91F"
"208",1997,"Noyade",51.38,14.44,1,1,"Noyade","drowning","#58ABD3"
"209",1997,"Noyade",50.06,8.41,1,1,"Noyade","drowning","#58ABD3"
"210",1997,"Noyade",40.2,18.55,12,1,"Noyade","drowning","#58ABD3"
"211",1997,"Mort de faim, de soif ou de froid",40.2,18.55,5,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"212",1997,"Incendie criminel, homicide, absence de soins",53.04,8.48,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"213",1997,"Noyade",51.09,14.58,1,1,"Noyade","drowning","#58ABD3"
"214",1997,"Noyade",36.01,-5.36,4,1,"Noyade","drowning","#58ABD3"
"215",1997,"Noyade",36.01,-5.36,13,1,"Noyade","drowning","#58ABD3"
"216",1997,"Noyade",50.06,8.41,1,1,"Noyade","drowning","#58ABD3"
"217",1997,"Mort de faim, de soif ou de froid",51.48,13.41,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"218",1997,"Mort de faim, de soif ou de froid",51.27,-0.27,1,4,"Mort de faim, de soif, de froid ou d'épuisement","Exhaustion, starving, thirst or freezing to death","#1C7532"
"219",1997,"Noyade",35.47,-5.48,14,1,"Noyade","drowning","#58ABD3"
"220",1997,"Noyade",35.47,-5.48,10,1,"Noyade","drowning","#58ABD3"
"221",1997,"Empoisonnement, champ de mise, accident, autre",41.38,26.34,3,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"222",1997,"Noyade",51.38,14.44,1,1,"Noyade","drowning","#58ABD3"
"223",1997,"Suicide",53.19,13.51,1,2,"Suicide","Suicide","#F8E91F"
"224",1997,"Noyade",51.22,14.58,1,1,"Noyade","drowning","#58ABD3"
"225",1997,"Noyade",36.08,-5.21,26,1,"Noyade","drowning","#58ABD3"
"226",1997,"Suicide",49.1,9.19,1,2,"Suicide","Suicide","#F8E91F"
"227",1997,"Empoisonnement, champ de mise, accident, autre",50.06,8.41,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"228",1997,"Noyade",51.05,15.56,1,1,"Noyade","drowning","#58ABD3"
"229",1997,"Empoisonnement, champ de mise, accident, autre",52.31,13.24,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"230",1997,"Noyade",51.05,15.56,1,1,"Noyade","drowning","#58ABD3"
"231",1997,"Noyade",36.49,11.56,7,1,"Noyade","drowning","#58ABD3"
"232",1997,"Empoisonnement, champ de mise, accident, autre",41.37,2.41,4,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"233",1997,"Noyade",36.49,11.56,1,1,"Noyade","drowning","#58ABD3"
"234",1997,"Empoisonnement, champ de mise, accident, autre",52.31,13.24,1,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
"235",1997,"Suicide",50.08,8.12,1,2,"Suicide","Suicide","#F8E91F"
"236",1997,"Noyade",51.16,15.01,1,1,"Noyade","drowning","#58ABD3"
"237",1997,"Noyade",51.57,14.42,1,1,"Noyade","drowning","#58ABD3"
"238",1997,"Incendie criminel, homicide, absence de soins",49.49,6.45,1,5,"Homicide, torture, absence de soin, violences policières","Arson, homicide, torture, lack of care, police brutality","#F49919"
"239",1997,"Empoisonnement, champ de mise, accident, autre",51.22,14.58,2,6,"Empoisonnement, Champ de mine, accident, autre","Poisoning, Minefield, accident, other","#637A84"
